Order_ID,Order_Date,Customer_ID,Region,Payment_Method,Revenue,Quantity,Email
1001,2025-07-21,CUST-91,North,UPI,373.36,4,jmclaughlin@example.org
1002,2025-05-22,CUST-38,South,UPI,341.58,9,jsmith@example.com
1003,2025-10-12,CUST-21,Central,NetBanking,25.57,2,rivaskelsey@example.org
1004,2025-03-03,CUST-37,South,Debit Card,304.99,9,ihernandez@example.com
1005,2025-08-01,CUST-35,Central,NetBanking,118.02,10,phillipspeter@example.com
1006,2024-10-21,CUST-45,North,Credit Card,352.09,6,schneiderrobert@example.net
1007,2025-01-04,CUST-45,South,credit card,479.03,6,patrick82@example.org
1008,2025-07-19,CUST-23,North,NetBanking,57.39,6,pwalker@example.com
1009,2024-12-22,CUST-87,East,UPI,367.57,9,katherinerhodes@example.org
1010,2025-03-10,,West,UPI,280.5,10,carlking@example.org
1011,2025-01-09,CUST-56,Central,Credit Card,355.24,1,haynesmonica@example.net
1012,2025-07-05,CUST-94,South,Cash on Delivery,492.76,4,victor70@example.net
1013,2025-02-01,CUST-22,West,Cash.on.Delivery,232.17,6,codyhuffman@example.com
1014,2025-01-21,CUST-30,East,cash on delivery,112.66,5,kayla29@example.net
1015,2025-01-06,CUST-99,NULL,Debit Card,321.14,9,selenalyons@example.com
1016,2025-05-22,CUST-41,South,NetBanking,195.93,9,christopherjones@example.com
1017,2024-12-08,CUST-38,East,UPI,122.23,1,william86@example.net
1018,2025-08-12,CUST-50,West,Cash on Delivery,42.43,10,david62@example.net
1019,2025-02-20,CUST-50,South,NetBanking,203.86,8,baileytiffany@example.org
1009,2025-02-15,,East,Credit Card,130.85,9,raymarie@example.com
1021,2025-08-02,CUST-43,Central,netbanking,449.93,7,staceynicholson@example.com
1022,2025-03-26,CUST-56,South,Credit Card,259.67,2,hallmichael@example_at_org
1023,2025-01-25,CUST-16,North,Credit Card,317.45,7,stephen82@example.org
1024,2025-07-03,CUST-86,North,NetBanking,196.99,8,sandrakaufman@example.com
1025,04/15/2025,CUST-77,East,Debit Card,431.78,1,anna52@example.com
1026,2025-01-21,CUST-97,North,Debit.Card,377.93,6,ryanjimenez@example.org
1027,2025-09-12,CUST-24,East,NetBanking,87.5,1,peterdecker@example.org
1028,2025-03-20,CUST-43,Central,credit card,258.76,2,james29@example.com
1029,2025-03-06,CUST-90,East,Debit Card,308.4,3,smithchristine@example.net
1030,2025-05-01,,NULL,Debit Card,ZERO,9,watsonsandra@example.net
1031,2025-06-23,CUST-86,East,NetBanking,19.54,6,mark73@example.org
1032,2025-08-25,CUST-49,South,UPI,128.03,10,toddthomas@example.org
1033,2025-04-26,CUST-20,North,NetBanking,409.85,9,maria29@example.org
1034,2025-01-31,CUST-26,South,NetBanking,473.96,3,murphybrittany@example.org
1035,2025-04-22,CUST-43,Central,debit card,217.34,4,daviddiaz@example.com
1036,2025-01-08,CUST-79,South,Cash on Delivery,205.51,6,zsmith@example.net
1037,2025-01-12,CUST-66,Central,NetBanking,69.29,4,scott59@example.net
1038,2025-06-16,CUST-18,East,UPI,298.27,4,icline@example.net
1039,2025-02-16,CUST-85,South,UPI,44.79,1,lynchdonald@example.org
1009,2025-01-28,,North,UPI,431.22,one,welchpeter@example.com
1041,2025-01-13,CUST-45,West,Credit Card,274.22,10,cbailey@example.com
1042,2025-03-01,CUST-83,West,credit card,394.46,7,zdiaz@example.org
1043,2025-01-16,CUST-34,North,UPI,332.9,6,jessica67@example.com
1044,2025-08-25,CUST-64,West,NetBanking,433.28,1,laura57@example_at_com
1045,2025-02-07,CUST-96,NULL,UPI,207.28,6,aguilarmatthew@example.org
1046,2025-02-16,CUST-23,South,Credit Card,103.2,8,michael28@example.org
1047,2025-04-17,CUST-27,West,Credit Card,146.49,4,smithmary@example.net
1048,2025-04-24,CUST-19,West,Debit Card,57.98,9,kingbrandy@example.net
1049,2024-11-22,CUST-11,North,credit card,91.49,8,yhoward@example.com
1050,01/15/2025,,South,NetBanking,452.2,3,suttonomar@example.org
